trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
182,False,"{'a': 0.4, 'e': 0.634086626070721}",25,6,-23.942645226081396,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
183,False,"{'a': 0.4, 'e': 0.6325014095055441}",20,11,-2.778885241817642,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.4, 'e': 0.6309201559817803}",25,12,-0.11995132512416973,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
185,False,"{'a': 0.4, 'e': 0.6293428555918259}",20,6,-76.17367805751653,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 2}",1
186,False,"{'a': 0.4, 'e': 0.6277694984528464}",25,12,-39.607484184286754,"{0: 8, 1: 0, 2: 5, 3: 0, 4: 0}",1
187,False,"{'a': 0.4, 'e': 0.6262000747067143}",20,0,-48.075430932208036,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
188,False,"{'a': 0.4, 'e': 0.6246345745199475}",30,0,-59.87236649466546,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
189,False,"{'a': 0.4, 'e': 0.6230729880836477}",20,0,-87.2605268352374,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
190,False,"{'a': 0.4, 'e': 0.6215153056134386}",30,0,-38.87623320452095,"{0: 24, 1: 0, 2: 5, 3: 1, 4: 0}",0
191,False,"{'a': 0.4, 'e': 0.6199615173494051}",20,0,-0.4646279280472324,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
192,False,"{'a': 0.4, 'e': 0.6184116135560316}",35,20,8.888956840250335,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
193,False,"{'a': 0.4, 'e': 0.6168655845221416}",20,4,-19.685889875399198,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 0}",1
194,False,"{'a': 0.4, 'e': 0.6153234205608362}",25,5,-51.54318758831653,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
195,False,"{'a': 0.4, 'e': 0.6137851120094342}",20,0,-73.13318552889409,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
196,False,"{'a': 0.4, 'e': 0.6122506492294106}",35,3,-31.278823024154782,"{0: 25, 1: 0, 2: 7, 3: 0, 4: 0}",1
197,False,"{'a': 0.4, 'e': 0.6107200226063371}",20,4,-83.51685711452923,"{0: 8, 1: 2, 2: 5, 3: 0, 4: 1}",1
198,False,"{'a': 0.4, 'e': 0.6091932225498213}",20,14,13.256189727995029,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.4, 'e': 0.6076702394934468}",25,0,-82.90981073113545,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
200,False,"{'a': 0.4, 'e': 0.6061510638947132}",20,0,-62.574698044248976,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
201,False,"{'a': 0.4, 'e': 0.6046356862349764}",35,12,-130.40144596703803,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 3}",1
202,False,"{'a': 0.4, 'e': 0.6031240970193891}",35,14,-39.46664245384185,"{0: 16, 1: 1, 2: 2, 3: 2, 4: 0}",1
203,False,"{'a': 0.4, 'e': 0.6016162867768406}",35,11,-111.87158638638098,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 2}",1
204,False,"{'a': 0.4, 'e': 0.6001122460598985}",25,0,-90.80495281365755,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
205,False,"{'a': 0.4, 'e': 0.5986119654447488}",20,12,14.249467701446328,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
206,False,"{'a': 0.4, 'e': 0.597115435531137}",25,13,9.40716848919864,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
207,False,"{'a': 0.4, 'e': 0.5956226469423092}",25,12,-7.347135118434135,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
208,False,"{'a': 0.4, 'e': 0.5941335903249534}",20,0,-69.44003473485823,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
209,False,"{'a': 0.4, 'e': 0.5926482563491411}",20,0,-82.11915451158862,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
210,False,"{'a': 0.4, 'e': 0.5911666357082682}",25,15,-2.03685470155241,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.4, 'e': 0.5896887191189976}",30,10,-15.710682692033593,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
212,False,"{'a': 0.4, 'e': 0.5882144973212001}",20,0,-42.111123252523306,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
213,False,"{'a': 0.4, 'e': 0.5867439610778972}",25,11,4.218966686592155,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
214,False,"{'a': 0.4, 'e': 0.5852771011752025}",25,0,1.6509498293014744,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
215,False,"{'a': 0.4, 'e': 0.5838139084222645}",20,0,-38.650861329533114,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
216,False,"{'a': 0.4, 'e': 0.5823543736512089}",30,10,-33.893961151793995,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
217,False,"{'a': 0.4, 'e': 0.5808984877170809}",25,18,1.5894908606549458,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.4, 'e': 0.5794462414977882}",20,8,-46.9555769782728,"{0: 7, 1: 0, 2: 4, 3: 1, 4: 0}",1
219,False,"{'a': 0.4, 'e': 0.5779976258940438}",25,0,-61.98552203237342,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
220,False,"{'a': 0.4, 'e': 0.5765526318293087}",20,0,-2.406600580324193,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
221,False,"{'a': 0.4, 'e': 0.5751112502497354}",20,3,-3.281421662009661,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
222,False,"{'a': 0.4, 'e': 0.5736734721241111}",25,14,-46.76867625076051,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
223,False,"{'a': 0.4, 'e': 0.5722392884438009}",35,2,-85.19854257734809,"{0: 26, 1: 4, 2: 0, 3: 1, 4: 2}",1
224,False,"{'a': 0.4, 'e': 0.5708086902226914}",25,18,2.3965236468160795,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
225,False,"{'a': 0.4, 'e': 0.5693816684971347}",20,0,-36.81607416141972,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
226,False,"{'a': 0.4, 'e': 0.5679582143258919}",30,0,-238.59648581308753,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 5}",0
227,False,"{'a': 0.4, 'e': 0.5665383187900772}",25,11,-40.05620037045133,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
228,False,"{'a': 0.4, 'e': 0.5651219729931021}",25,1,-84.19868179784984,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 1}",1
229,False,"{'a': 0.4, 'e': 0.5637091680606193}",25,6,-102.74713147419965,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 2}",1
230,False,"{'a': 0.4, 'e': 0.5622998951404679}",35,0,-61.52039368655982,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 1}",0
231,False,"{'a': 0.4, 'e': 0.5608941454026166}",20,0,-38.02759503950003,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
232,False,"{'a': 0.4, 'e': 0.5594919100391101}",25,0,-81.68086903949178,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
233,False,"{'a': 0.4, 'e': 0.5580931802640124}",30,1,1.5722385007694397,"{0: 25, 1: 0, 2: 4, 3: 0, 4: 0}",1
234,False,"{'a': 0.4, 'e': 0.5566979473133524}",20,16,5.686466637768446,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.4, 'e': 0.555306202445069}",30,15,-66.42649533729622,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
236,False,"{'a': 0.4, 'e': 0.5539179369389564}",25,16,14.857529636797778,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.4, 'e': 0.5525331420966091}",30,11,-80.46763095466032,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 1}",1
238,False,"{'a': 0.4, 'e': 0.5511518092413675}",30,0,-65.53174630165886,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
239,False,"{'a': 0.4, 'e': 0.5497739297182642}",25,0,-42.109809531371255,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
240,False,"{'a': 0.4, 'e': 0.5483994948939686}",25,10,-41.05979227023875,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
241,False,"{'a': 0.4, 'e': 0.5470284961567337}",20,0,-37.58370121851119,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
242,False,"{'a': 0.4, 'e': 0.5456609249163419}",25,10,19.933971470407702,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.4, 'e': 0.5442967726040511}",30,17,-9.782294953092798,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
244,False,"{'a': 0.4, 'e': 0.5429360306725409}",20,10,-11.755827553672791,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 0}",1
245,False,"{'a': 0.4, 'e': 0.5415786905958596}",20,3,-43.05678258751209,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
246,False,"{'a': 0.4, 'e': 0.54022474386937}",20,10,13.414927568468505,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.4, 'e': 0.5388741820096966}",25,0,-50.33142073660361,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
248,False,"{'a': 0.4, 'e': 0.5375269965546724}",20,3,14.885635185297708,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
249,False,"{'a': 0.4, 'e': 0.5361831790632857}",30,16,17.398471126106795,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.4, 'e': 0.5348427211156275}",25,0,-137.21416206947296,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
251,False,"{'a': 0.4, 'e': 0.5335056143128385}",25,10,-7.497974201140799,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
252,False,"{'a': 0.4, 'e': 0.5321718502770564}",20,2,-118.64492670175876,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 3}",1
253,False,"{'a': 0.4, 'e': 0.5308414206513639}",25,0,-69.24998189000486,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
254,False,"{'a': 0.4, 'e': 0.5295143170997354}",30,15,18.943329273506826,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
255,False,"{'a': 0.4, 'e': 0.5281905313069861}",20,14,12.417880220570227,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
256,False,"{'a': 0.4, 'e': 0.5268700549787186}",20,0,11.549655556575178,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
257,False,"{'a': 0.4, 'e': 0.5255528798412719}",20,5,3.8170033426203354,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
258,False,"{'a': 0.4, 'e': 0.5242389976416688}",25,18,-7.480105642839684,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
259,False,"{'a': 0.4, 'e': 0.5229284001475646}",25,3,-25.744357096327654,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 0}",1
260,False,"{'a': 0.4, 'e': 0.5216210791471957}",25,0,-58.21913956733221,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
261,False,"{'a': 0.4, 'e': 0.5203170264493278}",20,3,-119.78645890875498,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 2}",1
262,False,"{'a': 0.4, 'e': 0.5190162338832045}",20,6,-52.36563310353588,"{0: 8, 1: 4, 2: 0, 3: 2, 4: 0}",1
263,False,"{'a': 0.4, 'e': 0.5177186932984965}",20,15,-11.566025701470425,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
264,False,"{'a': 0.4, 'e': 0.5164243965652503}",25,15,-7.418605760985689,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
265,False,"{'a': 0.4, 'e': 0.5151333355738372}",20,0,-19.12649582295082,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
266,False,"{'a': 0.4, 'e': 0.5138455022349027}",20,10,-18.242186983151313,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
267,False,"{'a': 0.4, 'e': 0.5125608884793154}",20,14,9.912465396464743,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.4, 'e': 0.5112794862581171}",25,0,-43.60632933935641,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
269,False,"{'a': 0.4, 'e': 0.5100012875424719}",20,11,-38.07345909464479,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
270,False,"{'a': 0.4, 'e': 0.5087262843236157}",20,14,-12.632464121830894,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
271,False,"{'a': 0.4, 'e': 0.5074544686128067}",20,5,13.254825896688148,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.4, 'e': 0.5061858324412747}",20,9,-42.91797637779087,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
273,False,"{'a': 0.4, 'e': 0.5049203678601716}",20,0,-66.87826526943564,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
274,False,"{'a': 0.4, 'e': 0.5036580669405212}",25,11,-23.80230080886236,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
275,False,"{'a': 0.4, 'e': 0.5023989217731699}",20,1,-29.183534845150422,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 0}",1
276,False,"{'a': 0.4, 'e': 0.501142924468737}",20,15,1.5885717108481658,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.4, 'e': 0.4998900671575652}",25,15,16.717335388951373,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.4, 'e': 0.4986403419896713}",20,2,-8.582258656058045,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
279,False,"{'a': 0.4, 'e': 0.49739374113469714}",25,11,-88.23485475827223,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 2}",1
280,False,"{'a': 0.4, 'e': 0.4961502567818604}",20,12,-33.84844646153552,"{0: 4, 1: 0, 2: 4, 3: 0, 4: 0}",1
281,False,"{'a': 0.4, 'e': 0.49490988113990575}",25,19,10.81196186210352,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.4, 'e': 0.493672606437056}",30,20,15.89507952094917,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.4, 'e': 0.4924384249209634}",20,0,-43.284157351616656,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
284,False,"{'a': 0.4, 'e': 0.49120732885866103}",35,14,-81.5358537977508,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 2}",1
285,False,"{'a': 0.4, 'e': 0.4899793105365144}",25,5,-32.64297522721585,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",1
286,False,"{'a': 0.4, 'e': 0.48875436226017316}",25,12,22.720559207890396,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.4, 'e': 0.48753247635452274}",30,8,-36.23278066608331,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 0}",1
288,False,"{'a': 0.4, 'e': 0.48631364516363645}",30,16,13.695142939557307,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
289,False,"{'a': 0.4, 'e': 0.4850978610507274}",25,0,-8.980031384474886,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
290,False,"{'a': 0.4, 'e': 0.4838851163981006}",20,5,-43.232305034750226,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
291,False,"{'a': 0.4, 'e': 0.48267540360710537}",25,11,-1.215343067124287,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
292,False,"{'a': 0.4, 'e': 0.48146871509808764}",25,0,-55.550597822093,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
293,False,"{'a': 0.4, 'e': 0.4802650433103425}",20,13,-8.673275620751548,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
294,False,"{'a': 0.4, 'e': 0.47906438070206664}",30,5,5.249435512622594,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",1
295,False,"{'a': 0.4, 'e': 0.4778667197503115}",20,7,0.029944823669269205,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
296,False,"{'a': 0.4, 'e': 0.47667205295093573}",35,13,-60.199481955799534,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 1}",1
297,False,"{'a': 0.4, 'e': 0.4754803728185584}",20,16,7.212327040503826,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
298,False,"{'a': 0.4, 'e': 0.47429167188651206}",20,3,-83.87334875928637,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
299,False,"{'a': 0.4, 'e': 0.4731059427067958}",30,17,-16.19400484922906,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
300,False,"{'a': 0.4, 'e': 0.47192317785002885}",30,18,-34.28184798932588,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
301,False,"{'a': 0.4, 'e': 0.4707433699054038}",25,7,22.35093710097771,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
302,False,"{'a': 0.4, 'e': 0.46956651148064027}",35,1,-12.127573677043278,"{0: 28, 1: 1, 2: 5, 3: 0, 4: 0}",1
303,False,"{'a': 0.4, 'e': 0.4683925952019387}",20,9,-24.40042386039419,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
304,False,"{'a': 0.4, 'e': 0.4672216137139339}",20,0,-36.11917575213671,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
305,False,"{'a': 0.4, 'e': 0.46605355967964907}",25,20,9.593562610690089,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
306,False,"{'a': 0.4, 'e': 0.46488842578045}",20,0,-3.467216893091562,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
307,False,"{'a': 0.4, 'e': 0.4637262047159989}",20,0,-0.5450541177170904,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
308,False,"{'a': 0.4, 'e': 0.4625668892042089}",25,2,-13.258255219583921,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 0}",1
309,False,"{'a': 0.4, 'e': 0.46141047198119844}",30,0,-31.60685579372447,"{0: 27, 1: 0, 2: 1, 3: 1, 4: 1}",0
310,False,"{'a': 0.4, 'e': 0.46025694580124543}",20,0,-5.488909597043149,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
311,False,"{'a': 0.4, 'e': 0.45910630343674236}",20,9,3.2967014822985945,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
312,False,"{'a': 0.4, 'e': 0.45795853767815053}",20,11,-15.969505760162784,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 0}",1
313,False,"{'a': 0.4, 'e': 0.4568136413339552}",30,0,2.6986587894977614,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
314,False,"{'a': 0.4, 'e': 0.45567160723062033}",25,14,18.18192418898045,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.4, 'e': 0.4545324282125438}",35,5,-67.82649574988326,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",1
316,False,"{'a': 0.4, 'e': 0.45339609714201246}",30,18,12.888698773228981,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.4, 'e': 0.4522626068991574}",25,9,-42.78650449842121,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
318,False,"{'a': 0.4, 'e': 0.45113195038190956}",25,13,-5.385605984043676,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
319,False,"{'a': 0.4, 'e': 0.45000412050595484}",20,15,8.032430414141775,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.4, 'e': 0.44887911020468996}",20,5,-1.5930227823256105,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
321,False,"{'a': 0.4, 'e': 0.44775691242917826}",25,3,-142.8426446046501,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 3}",1
322,False,"{'a': 0.4, 'e': 0.4466375201481053}",20,2,-41.48246741657241,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 1}",1
323,False,"{'a': 0.4, 'e': 0.4455209263477351}",20,0,-9.739696850131384,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
324,False,"{'a': 0.4, 'e': 0.4444071240318658}",20,0,17.867004089095346,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
325,False,"{'a': 0.4, 'e': 0.44329610622178617}",30,16,-0.06304903508287207,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
326,False,"{'a': 0.4, 'e': 0.4421878659562317}",30,1,-7.2555109720265,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 0}",1
327,False,"{'a': 0.4, 'e': 0.44108239629134116}",30,7,-14.19138374983407,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 0}",1
328,False,"{'a': 0.4, 'e': 0.4399796903006128}",30,5,-47.82194706197545,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",1
329,False,"{'a': 0.4, 'e': 0.43887974107486133}",25,18,0.46236893907927423,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
330,False,"{'a': 0.4, 'e': 0.4377825417221742}",20,6,-58.8584830184405,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
331,False,"{'a': 0.4, 'e': 0.43668808536786874}",30,7,-38.402931634800666,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 0}",1
332,False,"{'a': 0.4, 'e': 0.4355963651544491}",35,13,-104.43787330293992,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 2}",1
333,False,"{'a': 0.4, 'e': 0.434507374241563}",20,0,17.877191051453355,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
334,False,"{'a': 0.4, 'e': 0.4334211058059591}",30,16,-16.404082209664,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
335,False,"{'a': 0.4, 'e': 0.4323375530414443}",20,0,-5.504478532120325,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
336,False,"{'a': 0.4, 'e': 0.4312567091588407}",25,16,13.517312731010309,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
337,False,"{'a': 0.4, 'e': 0.43017856738594357}",20,0,-8.492132166661062,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
338,False,"{'a': 0.4, 'e': 0.42910312096747877}",20,8,-21.21119075151001,"{0: 9, 1: 1, 2: 1, 3: 1, 4: 0}",1
339,False,"{'a': 0.4, 'e': 0.4280303631650601}",20,0,-64.14652642980329,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
340,False,"{'a': 0.4, 'e': 0.42696028725714746}",20,13,15.853982190493976,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
341,False,"{'a': 0.4, 'e': 0.4258928865390046}",30,8,-6.604728488151028,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
342,False,"{'a': 0.4, 'e': 0.42482815432265714}",20,10,-26.307931122535926,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
343,False,"{'a': 0.4, 'e': 0.4237660839368505}",25,15,2.8635688239302155,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
344,False,"{'a': 0.4, 'e': 0.4227066687270084}",25,3,7.494384750632696,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
345,False,"{'a': 0.4, 'e': 0.4216499020551909}",20,0,-28.73079784467821,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
346,False,"{'a': 0.4, 'e': 0.42059577730005293}",25,13,23.605350067163233,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
347,False,"{'a': 0.4, 'e': 0.4195442878568028}",35,6,-43.124271365325015,"{0: 24, 1: 2, 2: 1, 3: 1, 4: 1}",1
348,False,"{'a': 0.4, 'e': 0.41849542713716087}",20,0,-43.70499048342844,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
349,False,"{'a': 0.4, 'e': 0.41744918856931795}",25,8,-21.983073461472088,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
350,False,"{'a': 0.4, 'e': 0.4164055655978947}",30,6,-76.9713497252693,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 1}",1
351,False,"{'a': 0.4, 'e': 0.41536455168389996}",25,11,-18.351957588247082,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
352,False,"{'a': 0.4, 'e': 0.4143261403046902}",35,24,-42.3996344617222,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
353,False,"{'a': 0.4, 'e': 0.41329032495392853}",25,0,7.6847917420630045,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
354,False,"{'a': 0.4, 'e': 0.41225709914154374}",20,0,-26.79486265303582,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
355,False,"{'a': 0.4, 'e': 0.41122645639368993}",30,7,-8.896785382698607,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 0}",1
356,False,"{'a': 0.4, 'e': 0.4101983902527057}",30,23,12.733139103932393,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
357,False,"{'a': 0.4, 'e': 0.409172894277074}",35,12,-22.248854833967687,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 1}",1
358,False,"{'a': 0.4, 'e': 0.4081499620413813}",30,0,7.9601053320280855,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
359,False,"{'a': 0.4, 'e': 0.4071295871362779}",30,8,-16.599502418083024,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
360,False,"{'a': 0.4, 'e': 0.4061117631684372}",25,17,-27.1902087678222,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
361,False,"{'a': 0.4, 'e': 0.4050964837605161}",25,10,2.2015195753332,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
362,False,"{'a': 0.4, 'e': 0.40408374255111484}",25,8,-5.113470481011522,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
363,False,"{'a': 0.4, 'e': 0.4030735331947371}",25,18,10.65277081164715,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
364,False,"{'a': 0.4, 'e': 0.40206584936175027}",20,16,8.682953052608571,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
365,False,"{'a': 0.4, 'e': 0.40106068473834594}",30,13,-68.59376212111613,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
